"","gamma[1,1]","gamma[2,1]","gamma[3,1]"
"omp",0.414769452482494,0.11506478880068,0.470165758716826
"bmp",0.383604773342204,0.167586734020028,0.448808492637768
"hmp",0.42251370750729,0.0609658623253921,0.516520430167318
"wmp",0.309476467850362,0.0959364298047679,0.59458710234487
"ofp",0.367724942305026,0.0677997860663155,0.564475271628659
"bfp",0.227157250097056,0.0685533262366723,0.704289423666272
"hfp",0.242534608114237,0.0491401596149458,0.708325232270817
"wfp",0.242099545823767,0.0241567108118288,0.733743743364404
