"","om","of","bm","bf","wm","wf","hm","hf"
"Class 1",0.0201912478698161,0.0216679703099306,0.0167570276371498,0.0112254030608987,0.0101499312892501,0.0101521241024237,0.014751492406901,0.00993718385072707
"Class 2",0.013184561926699,0.0110954459568889,0.0128475222290442,0.00759051158241955,0.00664704688074847,0.00306898767159462,0.00907187946115733,0.00379054056692288
"Class 3",0.0169765961895026,0.0229171276055607,0.0118765930347644,0.0120180591907734,0.00931136525393536,0.0104390481045396,0.0138892592688465,0.0105419217929334
