"","rho[1,1,1,1]","rho[1,1,2,1]","rho[1,1,3,1]","rho[1,2,1,1]","rho[1,2,2,1]","rho[1,2,3,1]","rho[1,3,1,1]","rho[1,3,2,1]","rho[1,3,3,1]","rho[1,4,1,1]","rho[1,4,2,1]","rho[1,4,3,1]","rho[2,1,1,1]","rho[2,1,2,1]","rho[2,1,3,1]","rho[2,2,1,1]","rho[2,2,2,1]","rho[2,2,3,1]","rho[3,1,1,1]","rho[3,1,2,1]","rho[3,1,3,1]","rho[3,2,1,1]","rho[3,2,2,1]","rho[3,2,3,1]"
"ompI",0.066796089887884,0.00826633182319659,0.118089232232762,0.066281907599182,0.0621481529983732,0.0158200133086767,0.0650133919347609,0.00328248160755468,0.485616825477102,0.0908169719899021,0.0214607302848914,0.117400782740793,0.0136479481152238,0.621203141538065,0.00361461789593413,0.954713149205708,0.369121359900819,0.202450722915967,0.0255499818009224,0.00720816699842098,0.99213827283632,0.931243189345851,0.130180773757299,0.0051903274490507
"bmpI",0.0979727647585583,0.00185427562942597,0.244253016317646,0.0931923029287076,0.16769962957025,0.0283181174523401,0.0704531789753011,0.0109112393819155,0.409090305130003,0.0957005491641728,0.0281936666215573,0.0890150467700435,0.011311890173385,0.513465141875547,0.00432375851408986,0.972900170797041,0.477584473095379,0.156422755330722,0.0123425979886111,0.00911220946718525,0.946649891281066,0.917307758331083,0.0661683875073373,0.0446463446876297
"hmpI",0.0479180972465959,0.0400125351173009,0.201673557605216,0.0465708496035939,0.231986944818966,0.0278286352491023,0.0714003377461368,0.00199841002459773,0.361148202813456,0.0760474455804947,0.00334591775197781,0.0979293145697902,0.0214810117804743,0.614596498886103,0.00655687760213331,0.945008315924362,0.356399464486148,0.136846095696238,0.0409920979534963,0.0199693520572916,0.9644400302847,0.905221255077521,0.0347913898631681,0.0283771615725728
"wmpI",0.0773797036031993,0.0417425970049874,0.18144087572643,0.0381220572196444,0.128985109342369,0.0270178855021183,0.0606557379896246,0.0215312005629686,0.389349243227796,0.130885395160314,0.0273049571094387,0.115036252032488,0.00336129880343821,0.504780866841933,0.00729821120594675,0.965192586243728,0.489576975723848,0.145273669144567,0.0550031328535779,0.00374110565654424,0.993523703763244,0.920873534566379,0.100227777757559,0.00535646823919194
"ofpI",0.0504542662373064,0.00520526869373688,0.115542216172031,0.0515303270768521,0.160864303238788,0.021527742964508,0.0885784463673962,0.00446076394804282,0.541042781425431,0.132270292749335,0.00484499764124174,0.0640118694778591,0.031263895305025,0.645743146627451,0.00243038469209487,0.944945053107064,0.346485343056864,0.178898971230496,0.15092070673485,0.0103023244396042,0.997387553749066,0.845293408578148,0.0651927681543929,0.00169730677526545
"bfpI",0.0932501247633894,0.00650215907883585,0.211668027784371,0.102215130852048,0.252341167215155,0.0471634815088037,0.090764357582906,0.00213382912799858,0.476065533518955,0.0893483931816379,0.0104142187983897,0.0713676606510864,0.00502606697500804,0.556632873343224,0.00871317877740804,0.963744332682282,0.431352368750968,0.0880000259421737,0.120607631469618,0.0611930929094055,0.984941126591651,0.832603807293265,0.0816500481986597,0.0142439926978654
"hfpI",0.0617551114831584,0.103890561222886,0.159328040956455,0.0912141192170333,0.128256080939097,0.0280309326087481,0.120122002309951,0.00221821079336963,0.504793687886662,0.0930780485842462,0.00583669861235306,0.0656159927468128,0.00220595556662005,0.61757744782355,0.00578500490394647,0.941107302370323,0.340219805212962,0.114085191909819,0.0857164920417404,0.0343357177489577,0.995177774061246,0.910420033339204,0.180202607194095,0.00108632900624908
"wfpI",0.0870880938506036,0.0317679677215748,0.178635938863039,0.0561298186479725,0.106182923524649,0.022439463779506,0.10740671821725,0.00327385896970093,0.515536915233033,0.207527236018775,0.00431464218340738,0.0756032673477141,0.0106718942147104,0.675342103998445,0.00845482857519191,0.966629211676411,0.307998304992544,0.129424642629406,0.222951116258524,0.0465134424047761,0.994805434102253,0.774411122454582,0.217304117089866,0.0033882454009199
